point_A,point_B,heure_depart,jour_semaine,meteo,moyen_transport,distance_km,indice_trafic,duree_min,prob_accident
Etoile,Cadjehoun,11,Semaine,Pluie Légère,Voiture,4.18,1.29,9.0,0.01
Fidjrosse,Cadjehoun,7,Semaine,Pluie Légère,Bus,3.92,2.23,21.9,0.005
Zongo,Akpakpa,3,Weekend,Ensoleillé,Voiture,3.38,1.0,4.5,0.01
Fidjrosse,Akpakpa,12,Weekend,Pluie Légère,Zem,10.0,1.0,21.4,0.04
Fidjrosse,Akpakpa,17,Weekend,Forte Pluie,Zem,10.0,1.0,34.3,0.16
Zongo,Akpakpa,1,Semaine,Pluie Légère,Voiture,3.38,1.33,7.5,0.01
Etoile,Fidjrosse,12,Semaine,Pluie Légère,Bus,7.91,1.11,22.0,0.005
Calavi,Etoile,21,Semaine,Ensoleillé,Bus,12.72,1.39,35.2,0.005
Zongo,Calavi,14,Semaine,Ensoleillé,Voiture,12.45,1.35,22.5,0.01
Calavi,Cadjehoun,2,Weekend,Pluie Légère,Zem,11.27,1.0,24.2,0.04
Cadjehoun,Fidjrosse,2,Semaine,Ensoleillé,Voiture,3.92,1.52,8.0,0.01
Etoile,Calavi,21,Semaine,Ensoleillé,Voiture,12.72,1.39,23.6,0.01
Zongo,Fidjrosse,13,Semaine,Forte Pluie,Zem,6.66,1.26,28.8,0.16
Akpakpa,Calavi,7,Semaine,Ensoleillé,Bus,14.46,3.13,90.5,0.005
Cadjehoun,Zongo,3,Weekend,Ensoleillé,Bus,2.81,1.0,5.6,0.005
Calavi,Etoile,19,Semaine,Pluie Légère,Zem,12.72,3.46,94.3,0.04
Zongo,Cadjehoun,10,Semaine,Ensoleillé,Bus,2.81,1.15,6.4,0.005
Akpakpa,Cadjehoun,1,Weekend,Ensoleillé,Voiture,6.19,1.0,8.2,0.01
Fidjrosse,Calavi,16,Weekend,Ensoleillé,Voiture,9.53,1.0,12.7,0.01
Fidjrosse,Cadjehoun,8,Weekend,Ensoleillé,Voiture,3.92,1.0,5.2,0.01
Cadjehoun,Zongo,1,Semaine,Forte Pluie,Zem,2.81,1.41,13.6,0.16
Etoile,Fidjrosse,23,Semaine,Pluie Légère,Zem,7.91,1.56,26.4,0.04
Etoile,Calavi,14,Semaine,Ensoleillé,Voiture,12.72,1.25,21.2,0.01
Calavi,Cadjehoun,15,Semaine,Ensoleillé,Zem,11.27,1.41,27.3,0.04
Fidjrosse,Calavi,8,Weekend,Pluie Légère,Bus,9.53,1.0,23.8,0.005
Etoile,Fidjrosse,4,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Akpakpa,Calavi,12,Semaine,Pluie Légère,Bus,14.46,1.51,54.6,0.005
Fidjrosse,Akpakpa,6,Semaine,Forte Pluie,Voiture,10.0,1.36,36.2,0.02
Zongo,Cadjehoun,2,Semaine,Pluie Légère,Voiture,2.81,1.46,6.8,0.01
Akpakpa,Fidjrosse,4,Semaine,Ensoleillé,Zem,10.0,1.26,21.5,0.04
